Os01g0100100	RabGAP/TBC_domain_containing_protein.
Os11g0168200	Ribosomal_large_subunit_protein_L3B,_Regulation_of_leaf_morphology_and_plant_architecture
Os11g0168200	60S_ribosomal_protein_L3.
Os11g0168250	Hypothetical_gene.
Os11g0168300	Alba,_DNA/RNA_binding protein family protein.
Os11g0168300	Similar_to_ribonuclease_P.
Os11g0168500	Hypothetical_conserved_gene.
Os11g0168600	Protein_kinase,_core_domain_containing_protein.
Os11g0169100	Sec1_like protein family protein.
Os11g0169200	Amino_acid_transporter,_transmembrane_domain_containing_protein.
Os11g0169266	Hypothetical_protein.
Os11g0169400	Similar_to_Zinc_finger,_C2H2_type_family_protein,_expressed.
Os11g0169600	Hyccin_domain_containing_protein.
Os11g0169700	Galactose_oxidase/kelch,_beta_propeller domain containing protein.
Os11g0169800	Similar_to_Long_chain_fatty_acid__CoA ligase 4 (EC 6.2.1.3) (Long_chain acyl_CoA synthetase 4) (LACS 4).
Os11g0169900	Similar_to_Vacuolar_ATP_synthase_16_kDa_proteolipid_subunit_(EC_3.6.3.14)_(V_ ATPase 16 kDa proteolipid subunit) (Fragment).
Os11g0170000	Similar_to_Amidase_family_protein,_expressed.
Os11g0170100	Similar_to_6_aminohexanoate_cyclic_dimer hydrolase (EC 3.5.2.12).
Os11g0170200	Protein_of_unknown_function_DUF869,_plant_family_protein.
Os11g0170300	Similar_to_CBS_domain_containing_protein.
Os11g0170400	Conserved_hypothetical_protein.
Os11g0170900	Similar_to_BURP_domain_containing protein 17.
Os11g0171100	Conserved_hypothetical_protein.
Os11g0171300	Fructose_bisphosphate aldolase, chloroplast precursor (EC 4.1.2.13) (ALDP).
Os11g0171400	Integrator_complex,_subunit_3_domain_containing_protein.
Os11g0171500	Calcium_dependent protein kinase
Os11g0171601	Hypothetical_gene.
Os11g0171700	Forkhead_associated domain containing protein.
Os11g0171700	Hypothetical_conserved_gene.
Os11g0171800	Protein_kinase,_core_domain_containing_protein.
Os11g0172100	Similar_to_Pectinesterase.
Os11g0172133	Hypothetical_conserved_gene.
Os11g0172150	Similar_to_Leucine_Rich_Repeat_family_protein,_expressed.
Os11g0172300	Leucine_rich repeat domain containing protein.
Os11g0172300	Hypothetical_protein.
Os11g0172350	Similar_to_Protein_kinase_domain_containing_protein.
Os11g0172400	Similar_to_Protein_kinase_domain_containing_protein.
Os11g0173366	Hypothetical_gene.
Os11g0173432	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os11g0173500	Leucine_rich repeat, typical subtype domain containing protein.
Os11g0173500	Hypothetical_conserved_gene.
Os11g0173500	Leucine_rich repeat, typical subtype domain containing protein.
Os11g0173550	Hypothetical_conserved_gene.
Os11g0173750	Similar_to_Leucine_Rich_Repeat_family_protein,_expressed.
Os11g0173800	Serine/threonine_protein_kinase_related domain containing protein.
Os11g0173900	Similar_to_Leucine_Rich_Repeat_family_protein,_expressed.
Os11g0174000	Coatomer,_beta_subunit_domain_containing_protein.
Os11g0174000	Similar_to_Adaptin_N_terminal_region_family_protein,_expressed.
Os11g0174000	Coatomer,_beta_subunit_domain_containing_protein.
Os11g0174000	Similar_to_Adaptin_N_terminal_region_family_protein,_expressed.
Os11g0175000	Domain_of_unknown_function_DUF1618_domain_containing_protein.
Os11g0175300	Domain_of_unknown_function_DUF1618_domain_containing_protein.
Os11g0175400	Plant_neutral_invertase_family_protein.
Os11g0175450	Hypothetical_protein.
Os11g0175500	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os11g0175700	Similar_to_Transcription_factor_PCF3.
Os11g0175800	Hypothetical_conserved_gene.
Os11g0175900	Similar_to_TPLATE;_binding.
Os11g0176000	Similar_to_nucleotide_binding_protein.
Os11g0176100	Nucleotide_binding, alpha_beta plait domain containing protein.
Os11g0176200	Similar_to_HUA_enhancer_2.
Os11g0176200	Similar_to_predicted_protein.
Os11g0176300	GDP_fucose protein O_fucosyltransferase domain containing protein.
Os11g0177200	Conserved_hypothetical_protein.
Os11g0177301	Conserved_hypothetical_protein.
Os11g0177400	Similar_to_ATPase,_coupled_to_transmembrane_movement_of_substances.
Os11g0177750	Hypothetical_gene.
Os11g0178200	Conserved_hypothetical_protein.
Os11g0178800	Plant_disease_resistance_response_protein_family_protein.
Os11g0179000	Plant_disease_resistance_response_protein_family_protein.
Os11g0179400	Similar_to_Dirigent_like protein.
Os11g0179500	Similar_to_dirigent_like protein pDIR9.
Os11g0179700	Similar_to_Dirigent_like protein.
Os11g0180000	Plant_disease_resistance_response_protein_family_protein.
Os11g0180100	Conserved_hypothetical_protein.
Os11g0180200	Similar_to_Protein_tyrosine_phosphatase_1.
Os11g0180300	Conserved_hypothetical_protein.
Os11g0180600	Similar_to_Type_III_restriction_enzyme,_res_subunit_family_protein,_expressed.
Os11g0180800	Conserved_hypothetical_protein.
Os11g0180900	Myb_transcription_factor_domain_containing_protein.
Os11g0181000	Hypothetical_protein.
Os11g0181100	Similar_to_Transmembrane_protein_TM9SF3_(Fragment).
Os11g0181200	Hypothetical_protein.
Os11g0181400	Similar_to_barley_mlo_defense_gene_homolog4.
Os11g0181500	Similar_to_Nitrogen_fixation_like_protein.
Os11g0181700	Similar_to_retinol_dehydrogenase_12.
Os11g0181700	Similar_to_Short_chain dehydrogenase Tic32.
Os11g0181800	Similar_to_Short_chain dehydrogenase Tic32.
Os11g0181900	Prefoldin_domain_containing_protein.
Os11g0182100	Protein_of_unknown_function_DUF688_domain_containing_protein.
Os11g0182200	Transferase_family_protein.
Os11g0182200	Similar_to_anthranilate_N_benzoyltransferase protein 1.
Os11g0182400	WD40/YVTN_repeat_like domain containing protein.
Os11g0182500	Ankyrin_repeat_containing protein, Regulator in basal defense
Os11g0182500	Hypothetical_conserved_gene.
Os11g0182900	Ankyrin_repeat_domain_containing_protein.
Os11g0183150	Ankyrin_repeat_domain_containing_protein.
Os11g0183700	Myb,_DNA_binding domain containing protein.
Os11g0183700	Hypothetical_conserved_gene.
Os11g0183800	Similar_to_Armadillo/beta_catenin_like repeat family protein, expressed.
Os11g0183900	Similar_to_Aspartic_proteinase_Asp1_precursor_(EC_3.4.23._) (OsAsp1) (Nucellin_ like protein).
Os11g0183900	Similar_to_Nucellin_like aspartic protease (Fragment).
Os11g0184100	3_oxo_5_alpha_steroid 4_dehydrogenase, C_terminal domain containing protein.
Os11g0184300	Beta_glucosidase 30.
Os11g0184350	Hypothetical_protein.
Os11g0184600	Similar_to_Aspartic_proteinase_Asp1.
Os11g0184800	Similar_to_Aspartic_proteinase_Asp1_precursor_(EC_3.4.23._) (OsAsp1) (Nucellin_ like protein).
Os11g0184900	Similar_to_OsNAC5_protein_[imported]_rice.
Os11g0184900	NAC_type transcription factor, Regulation of stress_inducible genes, Stress tolerance
Os11g0185100	Conserved_hypothetical_protein.
Os11g0185800	Conserved_hypothetical_protein.
Os11g0186050	Hypothetical_protein.
Os11g0186200	Similar_to_Aldehyde_dehydrogenase_(EC_1.2.1.3).
Os11g0186300	Similar_to_Ankyrin_like protein.
Os11g0186400	Similar_to_DNA_polymerase_delta_catalytic_subunit_(EC_2.7.7.7).
Os11g0186500	Similar_to_GH3_auxin_responsive promoter family protein.
Os11g0186525	Hypothetical_protein.
Os11g0186600	Tetratricopeptide_like helical domain containing protein.
Os11g0186800	Similar_to_inorganic_phosphate_cotransporter.
Os11g0186900	ACC_oxidase,_Ethylene_biosynthesis
Os11g0187001	Hypothetical_gene.
Os11g0187100	WD40_repeat_domain_containing_protein.
Os11g0187150	Hypothetical_protein.
Os11g0187200	Similar_to_GATA_zinc_finger_family_protein.
Os11g0187500	Similar_to_Heat_shock_protein_70.
Os11g0187600	Similar_to_Heat_shock_protein_70.
Os11g0187700	Similar_to_Heat_shock_protein_70.
Os11g0188100	Similar_to_inositol_or_phosphatidylinositol_kinase/_phosphotransferase,_alcohol_group_as_acceptor.
Os11g0189600	Similar_to_Cycloartenol_synthase.
Os11g0189600	Similar_to_cDNA_clone:J013062J12,_full_insert_sequence.
Os11g0189900	Conserved_hypothetical_protein.
Os11g0191300	Similar_to_MEI1_protein.
Os11g0191300	Similar_to_BRCA1_C_Terminus_domain_containing_protein,_expressed.
Os11g0191400	ATP_NAD kinase, PpnK_type, all_beta domain containing protein.
Os11g0191400	Similar_to_predicted_protein.
Os11g0191500	Pectinesterase_inhibitor_domain_containing_protein.
Os11g0191800	Similar_to_Pectinesterase_family_protein.
Os11g0192400	Pectin_lyase_fold/virulence_factor_domain_containing_protein.
Os11g0192500	Similar_to_Pectinesterase_family_protein.
Os11g0193300	Hypothetical_conserved_gene.
Os11g0193800	Similar_to_Pectinesterase_family_protein.
Os11g0194000	Similar_to_Pectinesterase.
Os11g0194050	Conserved_hypothetical_protein.
Os11g0194100	Hypothetical_conserved_gene.
Os11g0194200	Similar_to_pectinesterase_family_protein.
Os11g0194400	Similar_to_Pectinesterase_family_protein.
Os11g0194600	Pectinesterase_inhibitor_domain_containing_protein.
Os11g0194800	Similar_to_DNA_directed RNA polymerase II 7.6 kDa polypeptide (EC 2.7.7.6) (RPB10) (RPB7.6).
Os11g0194900	Protein_kinase,_core_domain_containing_protein.
Os11g0195000	Similar_to_J033060E19,_full_insert_sequence.
Os11g0195100	Similar_to_Protein_translocase_subunit_secA.
Os11g0195200	Hypothetical_conserved_gene.
Os11g0195500	Hypothetical_conserved_gene.
Os11g0195600	Similar_to_Amino_acid_carrier_(Fragment).
Os11g0195650	Hypothetical_protein.
Os11g0195700	Conserved_hypothetical_protein.
Os11g0195800	Conserved_hypothetical_protein.
Os11g0197200	Hypothetical_protein.
Os11g0197400	Protein_of_unknown_function_DUF803_domain_containing_protein.
Os11g0197433	Hypothetical_gene.
Os11g0197466	Hypothetical_gene.
Os11g0197500	Conserved_hypothetical_protein.
Os11g0197600	Transcriptional_factor_B3_family_protein.
Os11g0197725	Hypothetical_protein.
Os11g0197975	Hypothetical_gene.
Os11g0198100	Similar_to_EMB2756.
Os11g0198200	Conserved_hypothetical_protein.
Os11g0198250	Hypothetical_gene.
Os11g0198900	Hypothetical_conserved_gene.
Os11g0198951	Hypothetical_conserved_gene.
Os11g0199000	Similar_to_cDNA,_clone:_J065168H08,_full_insert_sequence.
Os11g0199200	Protein_disulfide_isomerase_like enzyme, Starch synthesis, Maturation of proglutelin in endosperm
Os11g0199200	Similar_to_Protein_disulfide_isomerase.
Os11g0199600	Zinc_finger,_CCHC_type domain containing protein.
Os11g0199700	Similar_to_VHS_and_GAT_domain_protein.
Os11g0199700	Similar_to_Seed_protein_B32E_(Fragment).
Os11g0199801	Conserved_hypothetical_protein.
Os11g0199900	Similar_to_F_box domain containing protein.
Os11g0200000	Histone_deacetylase_family_protein.
Os11g0200600	Cyclin_like F_box domain containing protein.
Os11g0200600	Similar_to_F_box domain containing protein, expressed.
Os11g0200950	F_box domain, cyclin_like domain containing protein.
Os11g0200950	Cyclin_like F_box domain containing protein.
Os11g0200950	Similar_to_F_box domain containing protein, expressed.
Os11g0201000	Hypothetical_protein.
Os11g0201124	Hypothetical_protein.
Os11g0201175	Similar_to_H0315A08.1_protein.
Os11g0201299	Similar_to_F_box domain containing protein.
Os11g0201329	Hypothetical_protein.
Os11g0201360	Cyclin_like F_box domain containing protein.
Os11g0201400	Similar_to_Histone_deacetylase.
Os11g0201441	Hypothetical_protein.
Os11g0201540	Hypothetical_protein.
Os11g0201900	Similar_to_F_box domain containing protein.
Os11g0201933	Hypothetical_protein.
Os11g0201966	Hypothetical_protein.
Os11g0202000	F_box domain, cyclin_like domain containing protein.
Os11g0202000	Hypothetical_conserved_gene.
Os11g0202100	Hypothetical_protein.
Os11g0202200	Cyclin_like F_box domain containing protein.
Os11g0202300	Cyclin_like F_box domain containing protein.
Os11g0202300	Similar_to_F_box domain containing protein, expressed.
Os11g0202350	Conserved_hypothetical_protein.
Os11g0202400	Similar_to_F_box domain containing protein.
Os11g0202450	Hypothetical_protein.
Os11g0202500	UDP_glucuronosyl/UDP_glucosyltransferase domain containing protein.
Os11g0202600	Similar_to_OSIGBa0126J24.2_protein.
Os11g0202900	Hypothetical_gene.
Os11g0203400	Hypothetical_conserved_gene.
Os11g0204100	Conserved_hypothetical_protein.
Os11g0204100	Hypothetical_conserved_gene.
Os11g0204500	Conserved_hypothetical_protein.
Os11g0204600	Similar_to_Glucose_1_phosphate adenylyltransferase.
Os11g0204800	Similar_to_Wali7_protein_(Fragment).
Os11g0205200	Conserved_hypothetical_protein.
Os11g0205500	Similar_to_cDNA_clone:J023056F18,_full_insert_sequence.
Os11g0205500	Protein_of_unknown_function_DUF3615_domain_containing_protein.
Os11g0205800	Similar_to_F_box domain containing protein, expressed.
Os11g0205900	Similar_to_F_box domain containing protein, expressed.
Os11g0206000	Conserved_hypothetical_protein.
Os11g0206101	Conserved_hypothetical_protein.
Os11g0206150	Hypothetical_protein.
Os11g0206200	Mitochodrial_transcription_termination_factor_related family protein.
Os11g0206300	Similar_to_Mitochondrial_transcription_termination_factor_like family_1.
Os11g0206400	Mitochodrial_transcription_termination_factor_related family protein.
Os11g0206600	Mitochodrial_transcription_termination_factor_related family protein.
Os11g0206600	Similar_to_Mitochondrial_transcription_termination_factor_like family_3.
Os11g0206700	Guanine_nucleotide_binding_protein_(G_protein), alpha subunit family protein.
Os11g0206700	Similar_to_predicted_protein.
Os11g0206850	Conserved_hypothetical_protein.
Os11g0207000	LIM_binding_protein_domain_containing_protein.
Os11g0207000	Hypothetical_conserved_gene.
Os11g0207100	Similar_to_SEU3A_protein.
Os11g0207200	Similar_to_MAP3Ka.
Os11g0207300	Bacterial_luciferase_like family protein.
Os11g0207400	NB_ARC domain containing protein.
Os11g0207600	Myb_like protein.
Os11g0207700	Similar_to_Flavin_binding monooxygenase_like family protein.
Os11g0207800	Conserved_hypothetical_protein.
Os11g0207900	Similar_to_Flavin_binding monooxygenase_like family protein.
Os11g0208000	Cyclin_like F_box domain containing protein.
Os11g0208100	Cyclin_like F_box domain containing protein.
Os11g0208300	Hypothetical_conserved_gene.
Os11g0208400	Cyclin_like F_box domain containing protein.
Os11g0208500	Hypothetical_protein.
Os11g0208600	Similar_to_F_box family_8.
Os11g0208651	Hypothetical_protein.
Os11g0208700	Similar_to_D_mannose binding lectin family protein.
Os11g0208750	Hypothetical_protein.
Os11g0208800	Similar_to_Receptor_like protein kinase.
Os11g0208850	Hypothetical_protein.
Os11g0208900	Leucine_rich_repeat_containing_protein_kinase.
Os11g0209000	Glycine_rich_family_protein.
Os11g0209050	Similar_to_nucleic_acid_binding_protein.
Os11g0209100	Cyclin_like F_box domain containing protein.
Os11g0209200	Similar_to_Ribosomal_RNA_apurinic_site_specific_lyase.
Os11g0209300	Hypothetical_protein.
Os11g0209400	Similar_to_F_box family_6.
Os11g0209450	Hypothetical_protein.
Os11g0209502	F_box domain, cyclin_like domain containing protein.
Os11g0209550	Hypothetical_protein.
Os11g0209600	Cyclin_like F_box domain containing protein.
Os11g0209600	Similar_to_F_box family_1.
Os11g0209700	Hypothetical_conserved_gene.
Os11g0209700	Conserved_hypothetical_protein.
Os11g0209900	Similar_to_NifS_like protein.
Os11g0210000	Conserved_hypothetical_protein.
Os11g0210100	Similar_to_Class_III_peroxidase_133.
Os11g0210201	Conserved_hypothetical_protein.
Os11g0210300	Alcohol_dehydrogenase_1.
Os11g0210300	Similar_to_Alcohol_dehydrogenase_1.
Os11g0210500	Similar_to_Alcohol_dehydrogenase.
Os11g0210600	Similar_to_Alcohol_dehydrogenase_(Fragment).
Os11g0210700	Hypothetical_gene.
Os11g0211200	Similar_to_Tubulin_specific chaperon_like protein.
Os11g0211300	Similar_to_NBS_LRR disease resistance protein homologue (Fragment).
Os11g0211400	Hypothetical_protein.
Os11g0211600	Similar_to_Leucine_Rich_Repeat_family_protein.
Os11g0211650	Similar_to_Leucine_Rich_Repeat_family_protein.
Os11g0211700	Hypothetical_conserved_gene.
Os11g0211800	Similar_to_Specific_abundant_protein_like protein 1.
Os11g0212000	Similar_to_Leucine_Rich_Repeat_family_protein,_expressed.
Os11g0212100	Similar_to_NBS_LRR disease resistance protein family_4.
Os11g0212300	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0212801	Conserved_hypothetical_protein.
Os11g0212900	Serine/threonine_protein_kinase_related domain containing protein.
Os11g0213000	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0213500	Pentatricopeptide_repeat_protein,_Mitochondrial_nad7_transcript_editing,_Seed_development
Os11g0213600	Peptidase_S10,_serine_carboxypeptidase_family_protein.
Os11g0213700	Leucine_rich repeat, typical subtype containing protein.
Os11g0213733	Conserved_hypothetical_protein.
Os11g0213800	Similar_to_NBS_LRR disease resistance protein homologue (Fragment).
Os11g0213900	Hypothetical_conserved_gene.
Os11g0214001	Hypothetical_conserved_gene.
Os11g0214100	Plant_disease_resistance_response_protein_domain_containing_protein.
Os11g0214400	Plant_disease_resistance_response_protein_family_protein.
Os11g0214700	Plant_disease_resistance_response_protein_domain_containing_protein.
Os11g0214900	Plant_disease_resistance_response_protein_family_protein.
Os11g0215100	Plant_disease_resistance_response_protein_family_protein.
Os11g0215300	Conserved_hypothetical_protein.
Os11g0215400	Peptidase_aspartic,_catalytic_domain_containing_protein.
Os11g0216000	Pyruvate_kinase_family_protein.
Os11g0216000	Similar_to_Pyruvate_kinase.
Os11g0216100	Similar_to_Heat_shock_protein_binding_protein.
Os11g0216300	ABC_1 domain containing protein.
Os11g0216300	Similar_to_ABC1_family_protein,_expressed.
Os11g0216400	Peptidase_S8,_subtilisin_related domain containing protein.
Os11g0216900	Similar_to_IDI2.
Os11g0217300	Mevalonate_and_galactokinase_family_protein.
Os11g0217500	Similar_to_mRNA_capping_enzyme,_C_terminal domain containing protein, expressed.
Os11g0218000	bZIP_transcription_factor,_bZIP_1 domain containing protein.
Os11g0218100	Similar_to_RNApol24.
Os11g0218200	Similar_to_RNApol24.
Os11g0218560	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0218619	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0218678	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0218737	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0219000	Peptidase_S16,_lon_N_terminal domain containing protein.
Os11g0219400	Ankyrin_repeat_containing_protein.
Os11g0219750	Conserved_hypothetical_protein.
Os11g0220100	Conserved_hypothetical_protein.
Os11g0220300	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0220400	Similar_to_ATPase,_AAA_family_protein,_expressed.
Os11g0220500	Conserved_hypothetical_protein.
Os11g0220550	Hypothetical_protein.
Os11g0220600	Tetraspanin_domain_containing_protein.
Os11g0220700	Hypothetical_protein.
Os11g0220800	Similar_to_60S_ribosomal_protein_L10_(QM_protein_homolog).
Os11g0221000	Aux/IAA_ARF_dimerisation_domain_containing_protein.
Os11g0221200	Putative_auxin_responsive protein IAA28.
Os11g0221300	AUX/IAA_protein_family_protein.
Os11g0222000	Regulator_of_chromosome_condensation/beta_lactamase_inhibitor protein II domain containing protein.
Os11g0222100	Hypothetical_protein.
Os11g0222200	Protease_inhibitor_I4,_serpin,_plant_domain_containing_protein.
Os11g0222320	Ribonuclease_H_like domain containing protein.
Os11g0222560	Hypothetical_protein.
Os11g0222800	Similar_to_LGC1.
Os11g0222900	NB_ARC domain containing protein.
Os11g0223000	Hypothetical_gene.
Os11g0223201	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0223300	Hypothetical_protein.
Os11g0223400	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0224040	Hypothetical_protein.
Os11g0224200	Similar_to_LGC1.
Os11g0224301	Similar_to_LGC1.
Os11g0224400	Conserved_hypothetical_protein.
Os11g0224600	Conserved_hypothetical_protein.
Os11g0224800	Protease_inhibitor_I4,_serpin_domain_containing_protein.
Os11g0224900	Similar_to_NBS_LRR protein (Fragment).
Os11g0225000	Serine/threonine_protein_kinase_related domain containing protein.
Os11g0225100	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0225200	Hypothetical_protein.
Os11g0225300	NB_ARC domain containing protein.
Os11g0225300	Hypothetical_conserved_gene.
Os11g0225566	Hypothetical_protein.
Os11g0226100	Similar_to_MAP_kinase_kinase.
Os11g0226201	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0226400	Similar_to_Nitrate_induced NOI protein, expressed.
Os11g0226550	Hypothetical_protein.
Os11g0226700	Hypothetical_conserved_gene.
Os11g0226800	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0226900	Hypothetical_protein.
Os11g0226933	NB_ARC domain containing protein.
Os11g0226966	Hypothetical_conserved_gene.
Os11g0227000	Conserved_hypothetical_protein.
Os11g0227000	Hypothetical_conserved_gene.
Os11g0227100	Similar_to_NBS_LRR_like protein.
Os11g0227200	Similar_to_NBS_LRR disease resistance protein homologue.
Os11g0227250	Hypothetical_protein.
Os11g0227300	Conserved_hypothetical_protein.
Os11g0227600	Hypothetical_protein.
Os11g0227700	Similar_to_Non_TIR_NBS_LRR type resistance protein.
Os11g0227800	NB_ARC domain containing protein.
Os11g0228201	Hypothetical_gene.
Os11g0228600	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0228800	Similar_to_NBS_LRR_like protein.
Os11g0229000	Hypothetical_conserved_gene.
Os11g0229100	Similar_to_B0616E02_H0507E05.11 protein.
Os11g0229300	Similar_to_NBS_LRR_like protein.
Os11g0229333	Hypothetical_gene.
Os11g0229400	Similar_to_NBS_LRR protein (Fragment).
Os11g0229500	Similar_to_NBS_LRR protein (Fragment).
Os11g0229600	Hypothetical_gene.
Os11g0229600	Hypothetical_protein.
Os11g0229700	Similar_to_NBS_LRR_like protein.
Os11g0230400	Protease_inhibitor_I4,_serpin_domain_containing_protein.
Os11g0230700	Serpin_Z6B.
Os11g0231200	Putative_serpin_Z6C.
Os11g0231400	Protein_of_unknown_function_DUF295_family_protein.
Os11g0231600	Cyclin_like F_box domain containing protein.
Os11g0231800	Similar_to_Serpin_(Serine_protease_inhibitor).
Os11g0232000	Putative_serpin_Z5.
Os11g0232100	Protein_kinase,_core_domain_containing_protein.
Os11g0232100	Hypothetical_conserved_gene.
Os11g0232400	Conserved_hypothetical_protein.
Os11g0233000	Similar_to_Leucine_Rich_Repeat_family_protein.
Os11g0233201	Hypothetical_gene.
Os11g0233400	Similar_to_cDNA_clone:J033099F01,_full_insert_sequence.
Os11g0233800	Serine/threonine_protein_kinase_related domain containing protein.
Os11g0234001	Conserved_hypothetical_protein.
Os11g0234200	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os11g0235200	Peptide_transporter_(PTR)_family_transporter,_Proton_oligopeptide_tansporter_(POT),_Panicle_elongation
Os11g0235250	Hypothetical_gene.
Os11g0235300	Hypothetical_gene.
Os11g0235400	Hypothetical_genes.
Os11g0235700	Similar_to_FHY1.
Os11g0235750	Similar_to_H0105C05.7_protein.
Os11g0236000	Similar_to_Glycerophosphodiester_phosphodiesterase.
Os11g0236100	Similar_to_Sucrose_phosphate synthase.
Os11g0236200	Similar_to_Sucrose_phosphate synthase.
Os11g0236932	Hypothetical_conserved_gene.
Os11g0237300	Hypothetical_conserved_gene.
Os11g0237600	Hypothetical_conserved_gene.
Os11g0237700	Similar_to_URF_4_related.
Os11g0237900	Similar_to_NB_ARC domain containing protein.
Os11g0238000	Similar_to_NB_ARC domain containing protein.
Os11g0238400	Protein_of_unknown_function_DUF3475_domain_containing_protein.
Os11g0238700	Similar_to_NB_ARC domain containing protein.
Os11g0239000	Serpin_Z2A.
Os11g0239200	Serpin_Z2B.
Os11g0239400	Similar_to_Serpin_(Serine_protease_inhibitor).
Os11g0239500	Alpha/beta_hydrolase_fold_3 domain containing protein.
Os11g0239900	Hypothetical_protein.
Os11g0240600	Alpha/beta_hydrolase_fold_3 domain containing protein.
Os11g0240600	Similar_to_gibberellin_receptor_GID1L2.
Os11g0240800	Hypothetical_conserved_gene.
Os11g0240900	Protein_of_unknown_function_DUF2363_domain_containing_protein.
Os11g0241000	Conserved_hypothetical_protein.
Os11g0241100	Hypothetical_protein.
Os11g0241200	Protein_of_unknown_function_DUF538_family_protein.
Os11g0241700	Protein_of_unknown_function_DUF538_family_protein.
Os11g0241832	Protein_of_unknown_function_DUF538_domain_containing_protein.
Os11g0241900	Domain_of_unknown_function_DUF231,_plant_domain_containing_protein.
Os11g0242100	Beta_glucosidase, GBA2 type domain containing protein.
Os11g0242200	Protein_phosphatase_2C_like domain containing protein.
Os11g0242300	Similar_to_AP2_domain_containing_protein,_expressed.
Os11g0242400	Similar_to_Rieske.
Os11g0242500	Similar_to_Cyclin_dependent_kinase_C.
Os11g0242600	Protein_of_unknown_function_DUF579,_plant_family_protein.
Os11g0242700	Similar_to_Ribosomal_protein_L37.
Os11g0242800	Similar_to_ASCAB9_A (ASCAB9_B) (Fragment).
Os11g0242900	Putative_B3_domain_containing protein Os11g0242900.
Os11g0243300	Similar_to_ZF_HD protein dimerisation region containing protein, expressed.
Os11g0243600	Hypothetical_protein.
Os11g0243750	Similar_to_NB_ARC domain containing protein, expressed.
Os11g0243925	Similar_to_ZmEBE_2 protein.
Os11g0244100	Transferase_family_protein.
Os11g0244200	Similar_to_Pisum_sativum_17.9_kDa_heat_shock_protein_(hsp17.9)_(Fragment).
Os11g0244300	Similar_to_ATPase,_AAA_family_protein.
Os11g0244600	Epsin_like, N_terminal domain containing protein.
Os11g0244800	Similar_to_Alfin_1.
Os11g0244900	FAR1_DNA_binding_domain_domain_containing_protein.
Os11g0245100	Similar_to_Glutathione_S_transferase 2.
Os11g0245200	Similar_to_leucine_rich repeat family protein / protein kinase family protein.
Os11g0245400	Protein_of_unknown_function_DUF1685_domain_containing_protein.
Os11g0245466	Conserved_hypothetical_protein.
Os11g0245500	Lipid_binding START domain containing protein.
Os11g0245650	Conserved_hypothetical_protein.
Os11g0245800	Similar_to_Rp1_like protein (Fragment).
Os11g0245900	Hypothetical_protein.
Os11g0246100	Mitochodrial_transcription_termination_factor_related family protein.
Os11g0246133	Hypothetical_protein.
Os11g0246166	Hypothetical_protein.
Os11g0246200	Kelch_type beta propeller domain containing protein.
Os11g0246300	Conserved_hypothetical_protein.
Os11g0246600	Similar_to_Peptidase_S1_and_S6,_chymotrypsin/Hap.
Os11g0246900	Ankyrin_repeat_containing_protein.
Os11g0246900	Similar_to_predicted_protein.
Os11g0246950	Hypothetical_protein.
Os11g0247000	Similar_to_Auxin_inducible protein.
Os11g0247300	Alpha_tubulin protein, Cell elongation and division
Os11g0247350	Hypothetical_gene.
Os11g0247400	Haemolysin_A_domain_containing_protein.
Os11g0247500	Conserved_hypothetical_protein.
Os11g0248200	Nucleotide_binding, alpha_beta plait domain containing protein.
Os11g0248466	Hypothetical_protein.
Os11g0249000	NB_ARC domain containing protein.
Os11g0249300	Conserved_hypothetical_protein.
Os11g0249400	Similar_to_Polygalacturonase_family_protein,_expressed.
Os11g0249600	Similar_to_Polygalacturonase_C_(Fragment).
Os11g0249700	Hypothetical_protein.
Os11g0249900	Protein_kinase_like domain containing protein.
Os11g0249900	Similar_to_Protein_kinase_domain_containing_protein,_expressed.
Os11g0250000	Similar_to_RNA_recognition_motif_family_protein,_expressed.
Os11g0250000	Heterogeneous_nuclear_ribonucleoprotein_(hnRNP)_R_type protein, Flowering time regulation
Os11g0250100	Conserved_hypothetical_protein.
Os11g0250400	Conserved_hypothetical_protein.
Os11g0250600	Similar_to_cDNA_clone:001_115_E06, full insert sequence.
Os11g0250900	Conserved_hypothetical_protein.
Os11g0251200	Ankyrin_repeat_domain_containing_protein.
Os11g0251250	Conserved_hypothetical_protein.
Os11g0251400	Hypothetical_conserved_gene.
Os11g0251400	Ankyrin_repeat_containing_protein.
Os11g0251400	Hypothetical_conserved_gene.
